Key,english,brazilian
PlantedAk471,Ak47 (Seed),Ak47 (Semente)
PlantedAk471Desc,"Plant Ak47 seeds in fertilized dirt to grow Ak47 plants.","Plante em terrenos agricolas para nascer uma linda planta."
PlantedAk471Schematic,Ak47 (Seed) Recipe,Recipe de Ak47 (Semente)
PlantedAk472,Ak47 (Growing),Ak47 (Crescendo)
PlantedAk473Harvest,Ak47 Plant 3 (POI),Planta de Ak47 3 (POI)
PlantedAk473HarvestDesc,"Ak47 Plant","Planta de Ak47"
PlantedAk473HarvestPlayerDesc,"Ak47 Plant","Planta de Ak47"
PlantedAk47HarvestRandomHelper,= Ak47 = Random Helper,
PlantedChemDawg1,ChemDawg (Seed),ChemDawg (Semente)
PlantedChemDawg1Desc,"Plant ChemDawg seeds in fertilized dirt to grow ChemDawg plants.","Plante em terrenos agricolas para nascer uma linda planta."
PlantedChemDawg1Schematic,ChemDawg (Seed) Recipe,Recipe de ChemDawg (Semente)
PlantedChemDawg2,ChemDawg (Growing),ChemDawg (Crescendo)
PlantedChemDawg3Harvest,ChemDawg Plant 3 (POI),Planta de ChemDawg 3 (POI)
PlantedChemDawg3HarvestDesc,"ChemDawg Plant","Planta de ChemDawg"
PlantedChemDawg3HarvestPlayerDesc,"ChemDawg Plant","Planta de ChemDawg"
PlantedChemDawgHarvestRandomHelper,= ChemDawg = Random Helper,
PlantedWeddingCake1,WeddingCake (Seed),WeddingCake (Semente)
PlantedWeddingCake1Desc,"Plant WeddingCake seeds in fertilized dirt to grow WeddingCake plants.","Plante em terrenos agricolas para nascer uma linda planta."
PlantedWeddingCake1Schematic,WeddingCake (Seed) Recipe,Recipe de WeddingCake (Semente)
PlantedWeddingCake2,WeddingCake (Growing),WeddingCake (Crescendo)
PlantedWeddingCake3Harvest,WeddingCake Plant 3 (POI),Planta de WeddingCake 3 (POI)
PlantedWeddingCake3HarvestDesc,"WeddingCake Plant","Planta de WeddingCake"
PlantedWeddingCake3HarvestPlayerDesc,"WeddingCake Plant","Planta de WeddingCake"
PlantedWeddingCakeHarvestRandomHelper,= WeddingCake = Random Helper,
PlantedBlueDream1,BlueDream (Seed),BlueDream (Semente)
PlantedBlueDream1Desc,"Plant BlueDream seeds in fertilized dirt to grow BlueDream plants.","Plante em terrenos agricolas para nascer uma linda planta."
PlantedBlueDream1Schematic,BlueDream (Seed) Recipe,Recipe de BlueDream (Semente)
PlantedBlueDream2,BlueDream (Growing),BlueDream (Crescendo)
PlantedBlueDream3Harvest,,BlueDream Plant 3 (POI),Planta de BlueDream 3 (POI)
PlantedBlueDream3HarvestDesc,"Blue Dream Plant","Planta de Blue Dream"
PlantedBlueDream3HarvestPlayerDesc,"Blue Dream Plant","Planta de Blue Dream"
PlantedBlueDreamHarvestRandomHelper,= BlueDream = Random Helper,
PlantedPurpleHaze1,PurpleHaze (Seed),PurpleHaze (Semente)
PlantedPurpleHaze1Desc,"Plant PurpleHaze seeds in fertilized dirt to grow PurpleHaze plants.","Plante em terrenos agricolas para nascer uma linda planta."
PlantedPurpleHaze1Schematic,PurpleHaze (Seed) Recipe,,Recipe de PurpleHaze (Semente)
PlantedPurpleHaze2,PurpleHaze (Growing),PurpleHaze (Crescendo)
PlantedPurpleHaze3Harvest,PurpleHaze Plant 3 (POI),Planta de PurpleHaze 3 (POI)
PlantedPurpleHaze3HarvestDesc,"Purple Haze Plant","Planta de Purple Haze"
PlantedPurpleHaze3HarvestPlayerDesc,"Purple Haze Plant","Planta de Purple Haze"
PlantedPurpleHazeHarvestRandomHelper,= PurpleHaze = Random Helper,

plantedSuperWeed1,Super Weed Bonsai (Growing),Bonsai da Super Erva (Crescendo)
plantedSuperWeed1Desc,"You've reached the pinnacle of Grower!\nSnoop Dogg would be proud..\nThis bonsai of a strange weed always blooms after harvest.","Você chegou ao ápice como Grower!\nSnoop Dogg estaria orgulhoso..\nEsse bonsai de uma erva estranha sempre floresce após a colheita."
plantedSuperWeed2,Super Weed Bonsai (Growing),Bonsai da Super Erva (Crescendo)
plantedSuperWeed3Harvest,Super Weed Bonsai,Bonsai da Super Erva
plantedSuperWeed3HarvestPlayerDesc,"Super Weed Bonsai","Bonsai da Super Erva"
plantedSuperWeedHarvestRandomHelper,= Super Weed Bonsai = Random Helper,
SuperWeed,Acid Weed,Maconha Ácida
